"id","recipe_id","name","quantity","position","created_at","updated_at"
20266805,2577898,"塩胡椒","少々",6,"2014-04-08 13:16:40","2014-04-08 13:16:40"
20266806,2577898,"クミンパウダー","適量",7,"2014-04-08 13:16:40","2014-04-08 13:16:40"
20266807,2577898,"ドライパセリ","適量",8,"2014-04-08 13:16:40","2014-04-08 13:16:40"
21432874,2617142,"米","2合",1,"2014-07-15 13:33:35","2014-07-15 13:33:35"
21432875,2617142,"鯛のアラ","1尾分",2,"2014-07-15 13:33:35","2014-07-15 13:33:35"
21432876,2617142,"薄口醤油","大匙1",3,"2014-07-15 13:33:35","2014-07-15 13:33:35"
21432877,2617142,"酒","大匙2",4,"2014-07-15 13:33:35","2014-07-15 13:33:35"
21432878,2617142,"塩","ひとつまみ",5,"2014-07-15 13:33:35","2014-07-15 13:33:35"
21432879,2617142,"生姜","薄切り1〜2枚",6,"2014-07-15 13:33:35","2014-07-15 13:33:35"
21432880,2617142,"昆布","5×10cm分",7,"2014-07-15 13:33:35","2014-07-15 13:33:35"
21432881,2617142,"水","380cc",8,"2014-07-15 13:33:35","2014-07-15 13:33:35"
22361477,2799714,"長方形の大きめの海苔","1枚",0,"2014-09-16 17:49:16","2014-09-16 17:49:16"
22361478,2799714,"ごはん","茶碗小盛りで1杯（120gぐらい）",1,"2014-09-16 17:49:16","2014-09-16 17:49:16"
22361479,2799714,"お好きな具（記載はツナマヨタイプ）","",2,"2014-09-16 17:49:16","2014-09-16 17:49:16"
22361756,2799714,"コーン入りツナ缶（コーンなしでも可）","1缶",3,"2014-09-16 17:57:13","2014-09-16 17:57:13"
22361757,2799714,"マヨネーズ","大さじ1",4,"2014-09-16 17:57:13","2014-09-16 17:57:13"
22361758,2799714,"醤油","適量",5,"2014-09-16 17:57:13","2014-09-16 17:57:13"
22361656,2799714,"レタス　※お好みで","1〜2枚",6,"2014-09-16 17:55:57","2014-09-16 17:55:57"
22367031,2800305,"卵","1個",0,"2014-09-16 21:20:56","2014-09-16 21:20:56"
22367032,2800305,"砂糖","大さじ2",1,"2014-09-16 21:20:56","2014-09-16 21:20:56"
22367033,2800305,"塩","ひとつまみ",2,"2014-09-16 21:20:56","2014-09-16 21:20:56"
22367073,2800305,"サラダ油","小さじ１",3,"2014-09-16 21:22:32","2014-09-16 21:22:32"
22719898,2829052,"はんぺん","1つ",1,"2014-10-07 23:37:22","2014-10-07 23:37:22"
22719899,2829052,"★ツナ缶","1つ",2,"2014-10-07 23:37:22","2014-10-07 23:37:22"
22719900,2829052,"★マヨネーズ","大さじ1",3,"2014-10-07 23:37:22","2014-10-07 23:37:22"
22719901,2829052,"★ブラックペッパー","適量",4,"2014-10-07 23:37:22","2014-10-07 23:37:22"
22719902,2829052,"スライスチーズ","1枚",5,"2014-10-07 23:37:22","2014-10-07 23:37:22"
22719903,2829052,"サラダ油","大さじ1/2",6,"2014-10-07 23:37:22","2014-10-07 23:37:22"
22719904,2829052,"醤油","小さじ2",7,"2014-10-07 23:37:22","2014-10-07 23:37:22"
29322680,2845264,"おくら","1パック",1,"2015-08-18 20:46:35","2015-08-18 20:46:35"
29322681,2845264,"かつおぶし","1袋",2,"2015-08-18 20:46:35","2015-08-18 20:46:35"
29322682,2845264,"蜂蜜梅干し","大1個",3,"2015-08-18 20:46:35","2015-08-18 20:46:35"
29322683,2845264,"つゆ","小さじ1",4,"2015-08-18 20:46:35","2015-08-18 20:46:35"
29322684,2845264,"わさび","お好みで",5,"2015-08-18 20:46:35","2015-08-18 20:46:35"
23154431,2859798,"かぼちゃ","1/2個",1,"2014-10-31 19:42:35","2014-10-31 19:42:35"
23154432,2859798,"豚ひき肉","150g",2,"2014-10-31 19:42:35","2014-10-31 19:42:35"
